,Country,Dates,Confirmed,latitude,longitudes,Date_id
0,China,2020-01-22,548,35.000074,104.999927,0
0,Taiwan*,2020-01-22,1,23.59829785,120.83536313817521,0
0,"Korea, South",2020-01-22,1,35.7724185,127.79654346305617,0
0,Thailand,2020-01-22,2,14.8971921,100.83273,0
0,US,2020-01-22,1,39.7837304,-100.4458825,0
0,Japan,2020-01-22,2,36.5748441,139.2394179,0
1,Vietnam,2020-01-23,2,13.2904027,108.4265113,1
1,Singapore,2020-01-23,1,1.357107,103.8194992,1
2,France,2020-01-24,2,46.603354,1.8883335,2
3,Nepal,2020-01-25,1,28.1083929,84.0917139,3
3,Malaysia,2020-01-25,3,4.5693754,102.2656823,3
4,Australia,2020-01-26,4,-24.7761086,134.755,4
4,Canada,2020-01-26,1,61.0666922,-107.9917071,4
5,Germany,2020-01-27,1,51.0834196,10.4234469,5
5,Cambodia,2020-01-27,1,13.5066394,104.869423,5
5,Sri Lanka,2020-01-27,1,7.5554942,80.7137847,5
7,Finland,2020-01-29,1,63.2467777,25.9209164,6
7,United Arab Emirates,2020-01-29,4,24.0002488,53.9994829,6
8,Philippines,2020-01-30,1,12.7503486,122.7312101,7
8,India,2020-01-30,1,22.3511148,78.6677428,7
9,Italy,2020-01-31,2,42.6384261,12.674297,8
9,Sweden,2020-01-31,1,59.6749712,14.5208584,8
9,United Kingdom,2020-01-31,2,54.7023545,-3.2765753,8
9,Russia,2020-01-31,2,64.6863136,97.7453061,8
10,Spain,2020-02-01,1,39.3262345,-4.8380649,9
13,Belgium,2020-02-04,1,50.6402809,4.6667145,10
16,Diamond Princess,2020-02-07,61,53.8953584,27.5554078,11
23,Egypt,2020-02-14,1,26.2540493,29.2675469,12
28,Iran,2020-02-19,2,32.6475314,54.5643516,13
30,Israel,2020-02-21,1,31.5313113,34.8667654,14
30,Lebanon,2020-02-21,1,33.8750629,35.843409,14
33,Bahrain,2020-02-24,1,26.1551249,50.5344606,15
33,Afghanistan,2020-02-24,1,33.7680065,66.2385139,15
33,Iraq,2020-02-24,1,33.0955793,44.1749775,15
33,Oman,2020-02-24,2,21.0000287,57.0036901,15
33,Kuwait,2020-02-24,1,29.2733964,47.4979476,15
34,Algeria,2020-02-25,1,28.0000272,2.9999825,16
34,Croatia,2020-02-25,1,45.5643442,17.0118954,16
34,Switzerland,2020-02-25,1,46.7985624,8.2319736,16
34,Austria,2020-02-25,2,47.2000338,13.199959,16
35,Greece,2020-02-26,1,38.9953683,21.9877132,17
35,Pakistan,2020-02-26,2,30.3308401,71.247499,17
35,Norway,2020-02-26,1,60.5000209,9.0999715,17
35,Georgia,2020-02-26,1,32.3293809,-83.1137366,17
35,Brazil,2020-02-26,1,-10.3333333,-53.2,17
35,Romania,2020-02-26,1,45.9852129,24.6859225,17
35,North Macedonia,2020-02-26,1,41.6171214,21.7168387,17
36,San Marino,2020-02-27,1,43.9458623,12.458306,18
36,Denmark,2020-02-27,1,55.670249,10.3333283,18
36,Netherlands,2020-02-27,1,52.5001698,5.7480821,18
36,Estonia,2020-02-27,1,58.7523778,25.3319078,18
37,Lithuania,2020-02-28,1,55.3500003,23.7499997,19
37,Nigeria,2020-02-28,1,9.6000359,7.9999721,19
37,New Zealand,2020-02-28,1,-41.5000831,172.8344077,19
37,Iceland,2020-02-28,1,64.9841821,-18.1059013,19
37,Belarus,2020-02-28,1,53.4250605,27.6971358,19
37,Mexico,2020-02-28,1,19.4326296,-99.1331785,19
38,Luxembourg,2020-02-29,1,49.8158683,6.1296751,20
38,Monaco,2020-02-29,1,43.7323492,7.4276832,20
38,Ireland,2020-02-29,1,52.865196,-7.9794599,20
38,Qatar,2020-02-29,1,25.3336984,51.2295295,20
39,Czechia,2020-03-01,3,49.8167003,15.4749544,21
39,Dominican Republic,2020-03-01,1,19.0974031,-70.3028026,21
39,Armenia,2020-03-01,1,40.7696272,44.6736646,21
39,Ecuador,2020-03-01,6,-1.3397668,-79.3666965,21
39,Azerbaijan,2020-03-01,3,40.3936294,47.7872508,21
40,Latvia,2020-03-02,1,56.8406494,24.7537645,22
40,Portugal,2020-03-02,2,40.0332629,-7.8896263,22
40,Morocco,2020-03-02,1,31.1728205,-7.3362482,22
40,Indonesia,2020-03-02,2,-2.4833826,117.8902853,22
40,Saudi Arabia,2020-03-02,1,25.6242618,42.3528328,22
40,Senegal,2020-03-02,1,14.4750607,-14.4529612,22
40,Andorra,2020-03-02,1,42.5407167,1.5732033,22
41,Argentina,2020-03-03,1,-34.9964963,-64.9672817,23
41,Ukraine,2020-03-03,1,49.4871968,31.2718321,23
41,Chile,2020-03-03,1,-31.7613365,-71.3187697,23
41,Jordan,2020-03-03,1,31.1667049,36.941628,23
42,Hungary,2020-03-04,2,47.1817585,19.5060937,24
42,Liechtenstein,2020-03-04,1,47.1416307,9.5531527,24
42,Poland,2020-03-04,1,52.215933,19.134422,24
42,Tunisia,2020-03-04,1,33.8439408,9.400138,24
43,West Bank and Gaza,2020-03-05,4,31.4331663,34.3779285,25
43,Bosnia and Herzegovina,2020-03-05,2,44.3053476,17.5961467,25
43,South Africa,2020-03-05,1,-28.8166236,24.991639,25
43,Slovenia,2020-03-05,2,45.8133113,14.4808369,25
44,Bhutan,2020-03-06,1,27.549511,90.5119273,26
44,Holy See,2020-03-06,1,38.9247244,-77.06572732690151,26
44,Slovakia,2020-03-06,1,48.7411522,19.4528646,26
44,Peru,2020-03-06,1,-6.8699697,-75.0458515,26
44,Togo,2020-03-06,1,8.7800265,1.0199765,26
44,Serbia,2020-03-06,1,44.024322850000004,21.07657433209902,26
44,Cameroon,2020-03-06,1,4.6125522,13.1535811,26
44,Colombia,2020-03-06,1,2.8894434,-73.783892,26
44,Costa Rica,2020-03-06,1,10.2735633,-84.0739102,26
45,Malta,2020-03-07,3,35.8885993,14.4476911,27
46,Bulgaria,2020-03-08,4,42.6073975,25.4856617,28
46,Bangladesh,2020-03-08,3,24.4768783,90.2932426,28
46,Paraguay,2020-03-08,1,-23.3165935,-58.1693445,28
46,Moldova,2020-03-08,1,47.2879608,28.5670941,28
46,Maldives,2020-03-08,4,4.7064352,73.3287853,28
47,Brunei,2020-03-09,1,4.4137155,114.5653908,29
47,Cyprus,2020-03-09,2,34.9823018,33.1451285,29
47,Albania,2020-03-09,2,41.000028,19.9999619,29
48,Panama,2020-03-10,1,8.559559,-81.1308434,30
48,Burkina Faso,2020-03-10,1,12.0753083,-1.6880314,30
48,Mongolia,2020-03-10,1,46.8250388,103.8499736,30
49,Turkey,2020-03-11,1,38.9597594,34.9249653,31
49,Congo (Kinshasa),2020-03-11,1,-2.9814344,23.8222636,31
49,Honduras,2020-03-11,2,15.2572432,-86.0755145,31
49,Bolivia,2020-03-11,2,-17.0568696,-64.9912286,31
49,Cote d'Ivoire,2020-03-11,1,7.9897371,-5.5679458,31
49,Jamaica,2020-03-11,1,18.1152958,-77.1598454610168,31
50,Cuba,2020-03-12,3,23.0131338,-80.8328748,32
50,Guyana,2020-03-12,1,4.8417097,-58.6416891,32
51,Sudan,2020-03-13,1,14.5844444,29.4917691,33
51,Kazakhstan,2020-03-13,4,47.2286086,65.2093197,33
51,Kenya,2020-03-13,1,1.4419683,38.4313975,33
51,Guinea,2020-03-13,1,10.7226226,-10.7083587,33
51,Ethiopia,2020-03-13,1,10.2116702,38.6521203,33
51,Antigua and Barbuda,2020-03-13,1,17.2234721,-61.9554608,33
52,Mauritania,2020-03-14,1,20.2540382,-9.2399263,34
52,Suriname,2020-03-14,1,4.1413025,-56.0771187,34
52,Gabon,2020-03-14,1,-0.8999695,11.6899699,34
52,Namibia,2020-03-14,2,-23.2335499,17.3231107,34
52,Eswatini,2020-03-14,1,-26.5624806,31.3991317,34
52,Trinidad and Tobago,2020-03-14,2,10.8677845,-60.9821067,34
52,Seychelles,2020-03-14,2,-4.6574977,55.4540146,34
52,Saint Lucia,2020-03-14,1,13.8250489,-60.975036,34
52,Saint Vincent and the Grenadines,2020-03-14,1,12.90447,-61.2765569,34
52,Venezuela,2020-03-14,2,8.0018709,-66.1109318,34
52,Uruguay,2020-03-14,4,-32.8755548,-56.0201525,34
52,Ghana,2020-03-14,3,8.0300284,-1.0800271,34
52,Guatemala,2020-03-14,1,15.6356088,-89.8988087,34
52,Rwanda,2020-03-14,1,-1.9646631,30.0644358,34
53,Uzbekistan,2020-03-15,1,41.32373,63.9528098,35
53,Central African Republic,2020-03-15,1,7.0323598,19.9981227,35
53,Congo (Brazzaville),2020-03-15,1,-0.7264327,15.6419155,35
53,Equatorial Guinea,2020-03-15,1,1.613172,10.5170357,35
54,Somalia,2020-03-16,1,8.3676771,49.083416,36
54,Tanzania,2020-03-16,1,-6.5247123,35.7878438,36
54,Benin,2020-03-16,1,9.5293472,2.2584408,36
54,Bahamas,2020-03-16,1,24.7736546,-78.0000547,36
54,Liberia,2020-03-16,1,5.7499721,-9.3658524,36
55,Barbados,2020-03-17,2,13.1500331,-59.5250305,37
55,Gambia,2020-03-17,1,13.470062,-15.4900464,37
55,Montenegro,2020-03-17,2,42.9868853,19.5180992,37
56,Zambia,2020-03-18,2,-14.5186239,27.5599164,38
56,Kyrgyzstan,2020-03-18,3,41.5089324,74.724091,38
56,Mauritius,2020-03-18,3,-20.2759451,57.5703566,38
56,Djibouti,2020-03-18,1,11.8145966,42.8453061,38
57,Nicaragua,2020-03-19,1,12.6090157,-85.2936911,39
57,Fiji,2020-03-19,1,-18.1239696,179.0122737,39
57,Chad,2020-03-19,1,15.6134137,19.0156172,39
57,El Salvador,2020-03-19,1,13.8000382,-88.9140683,39
58,Cabo Verde,2020-03-20,1,16.0000552,-24.0083947,40
58,Angola,2020-03-20,1,-11.8775768,17.5691241,40
58,Haiti,2020-03-20,2,19.1399952,-72.3570972,40
58,Papua New Guinea,2020-03-20,1,-5.6816069,144.2489081,40
58,Madagascar,2020-03-20,3,-18.9249604,46.4416422,40
58,Zimbabwe,2020-03-20,1,-18.4554963,29.7468414,40
58,Niger,2020-03-20,1,17.7356214,9.3238432,40
59,Uganda,2020-03-21,1,1.5333554,32.2166578,41
59,Eritrea,2020-03-21,1,15.9500319,37.9999668,41
60,Timor-Leste,2020-03-22,1,-8.5151979,125.8375756,42
60,Mozambique,2020-03-22,1,-19.302233,34.9144977,42
60,Syria,2020-03-22,1,34.6401861,39.0494106,42
60,Grenada,2020-03-22,1,12.1360374,-61.6904045,42
60,Dominica,2020-03-22,1,19.0974031,-70.3028026,42
61,Belize,2020-03-23,1,16.8259793,-88.7600927,43
62,Libya,2020-03-24,1,26.8234472,18.1236723,44
62,Laos,2020-03-24,2,20.0171109,103.378253,44
63,Mali,2020-03-25,2,16.3700359,-2.2900239,45
63,Guinea-Bissau,2020-03-25,2,12.100035,-14.9000214,45
63,Saint Kitts and Nevis,2020-03-25,2,17.250512,-62.6725973,45
64,Kosovo,2020-03-26,71,42.5869578,20.9021231,46
65,Burma,2020-03-27,8,17.1750495,95.9999652,47
66,MS Zaandam,2020-03-28,2,52.4387696,4.8185293,48
